client_id,Variation,completion_minutes
555,Test,2.6333333333333333
647,Test,6.283333333333333
1195,Control,4.083333333333333
1197,Control,1.5833333333333333
1336,Test,3.5166666666666666
1516,Test,15.9
1643,Test,11.466666666666667
1755,Test,3.716666666666667
1836,Test,1.95
1936,Test,3.466666666666667
3232,Test,5.333333333333333
3572,Test,4.25
3743,Control,4.866666666666666
4369,Test,10.533333333333333
4484,Test,27.866666666666667
4603,Test,2.65
4717,Test,3.05
4870,Test,6.866666666666666
5354,Control,1.5
6642,Control,7.383333333333334
6904,Test,2.0833333333333335
6977,Control,3.783333333333333
6985,Control,10.433333333333334
7020,Control,3.933333333333333
7563,Test,5.25
7567,Control,2.35
7657,Test,4.816666666666666
7723,Test,5.183333333333334
8055,Test,4.95
8101,Control,15.9
8820,Test,6.966666666666667
9767,Control,4.65
11040,Test,2.0
11054,Control,10.15
11070,Control,18.083333333333332
11122,Control,3.5166666666666666
11309,Test,3.3
11880,Test,6.333333333333333
12785,Test,33.15
13009,Control,6.616666666666666
13735,Test,2.65
15050,Test,5.733333333333333
15189,Test,2.45
16098,Test,2.033333333333333
16135,Control,12.8
16295,Test,8.483333333333333
16549,Control,6.4
16747,Control,2.6
17008,Control,5.433333333333334
17036,Control,3.35
17160,Control,5.35
17170,Test,4.416666666666667
17404,Test,1.65
18549,Test,2.55
18973,Control,13.3
19782,Control,7.65
19813,Control,11.2
19832,Control,6.85
20091,Control,4.9
20185,Test,40.983333333333334
20537,Control,3.9166666666666665
20564,Test,13.916666666666666
20643,Test,1.9666666666666666
21242,Control,1.35
21281,Test,5.316666666666666
21353,Control,4.25
21498,Control,12.2
21596,Test,7.516666666666667
21940,Control,2.6166666666666667
22007,Test,3.966666666666667
23276,Control,4.466666666666667
23864,Control,5.466666666666667
23914,Test,1.9833333333333334
24443,Test,30.3
24572,Test,6.95
24710,Control,3.783333333333333
24841,Test,3.6
25022,Test,9.466666666666667
25026,Test,7.283333333333333
25043,Control,2.05
25766,Control,5.55
26036,Test,1.0166666666666666
26070,Test,6.283333333333333
26105,Test,2.533333333333333
26211,Control,9.75
27021,Control,22.7
27075,Test,1.25
27241,Control,1.7166666666666666
27554,Control,1.5666666666666667
27764,Test,10.433333333333334
27907,Test,6.183333333333334
27988,Control,2.25
28241,Test,4.633333333333334
28371,Test,5.6
28542,Control,8.166666666666666
28705,Control,3.6333333333333333
28845,Control,2.8833333333333333
28857,Control,9.3
29227,Test,5.466666666666667
29527,Test,5.966666666666667
29595,Control,2.2666666666666666
30318,Test,4.366666666666666
30493,Test,9.966666666666667
31264,Control,2.6666666666666665
31336,Test,0.9333333333333333
31404,Test,3.3
31499,Test,12.733333333333333
31502,Control,10.6
31597,Test,3.0166666666666666
31715,Control,2.816666666666667
32197,Control,3.55
32521,Test,3.3
32746,Test,5.933333333333334
33190,Control,7.583333333333333
33265,Test,4.05
33463,Control,11.266666666666667
33472,Test,4.166666666666667
33752,Test,1.7
34067,Control,15.816666666666666
34267,Control,1.8333333333333333
34603,Control,5.516666666666667
35138,Test,6.216666666666667
35181,Test,4.55
35257,Control,1.85
35346,Control,2.8833333333333333
35417,Control,2.0166666666666666
35476,Test,5.4
35922,Test,23.483333333333334
36109,Control,15.333333333333334
36342,Test,3.8
36363,Test,4.45
36430,Test,15.85
36986,Test,2.683333333333333
37064,Control,5.866666666666666
37295,Control,6.583333333333333
37408,Control,5.583333333333333
37423,Test,9.65
37667,Test,2.05
37705,Test,5.933333333333334
37897,Test,1.6333333333333333
38283,Test,4.233333333333333
38340,Test,2.0166666666666666
38551,Test,3.816666666666667
38685,Control,3.316666666666667
38714,Control,1.9
38930,Control,5.933333333333334
38963,Control,17.966666666666665
39075,Control,2.5166666666666666
39566,Test,3.4833333333333334
40439,Test,1.1833333333333333
41122,Test,2.533333333333333
41142,Test,6.383333333333334
41199,Test,11.016666666666667
41237,Test,2.566666666666667
41516,Control,1.3166666666666667
42082,Control,6.083333333333333
42349,Test,2.4166666666666665
42725,Test,2.35
44060,Control,4.783333333333333
44216,Control,4.783333333333333
44705,Test,45.43333333333333
44860,Control,4.3
44932,Test,2.3
45131,Test,22.683333333333334
45232,Test,9.9
45485,Test,19.4
45510,Test,1.3166666666666667
47571,Control,14.7
47933,Control,7.783333333333333
48431,Control,4.366666666666666
48448,Test,1.6666666666666667
48724,Test,3.7333333333333334
49412,Control,3.0166666666666666
49450,Control,30.583333333333332
49709,Test,6.966666666666667
50053,Test,4.85
50090,Test,1.9833333333333334
50185,Control,2.8333333333333335
50271,Control,4.15
50325,Test,2.5
50643,Control,6.166666666666667
51493,Test,7.483333333333333
51526,Test,38.38333333333333
51706,Control,3.3333333333333335
51814,Control,2.316666666666667
51902,Control,1.9333333333333333
52111,Control,4.266666666666667
52456,Control,7.883333333333334
52461,Control,3.683333333333333
52743,Test,3.1166666666666667
52765,Control,3.683333333333333
53094,Control,3.716666666666667
53123,Control,4.816666666666666
53126,Control,1.65
53396,Test,1.5166666666666666
54231,Test,3.0
54291,Control,3.716666666666667
54363,Control,2.2
54893,Test,1.15
55059,Test,2.283333333333333
55265,Test,5.183333333333334
55333,Test,1.9333333333333333
55448,Control,4.716666666666667
56294,Test,3.8333333333333335
56529,Control,22.933333333333334
56923,Test,3.75
58001,Control,4.5
58194,Test,12.15
58196,Control,10.033333333333333
58456,Control,12.466666666666667
58676,Control,5.983333333333333
58867,Test,19.7
58917,Control,5.25
58962,Test,5.116666666666666
59089,Control,4.166666666666667
59152,Test,1.95
59360,Test,9.216666666666667
59782,Control,15.85
59802,Test,4.45
59860,Control,8.05
60101,Test,1.4666666666666666
60483,Test,1.9333333333333333
61487,Test,2.3833333333333333
61650,Test,4.283333333333333
61961,Test,4.316666666666666
62284,Test,7.7
62754,Test,3.35
62791,Test,2.2333333333333334
62805,Test,4.3
63377,Control,2.6666666666666665
63507,Test,3.8333333333333335
63796,Test,23.7
63879,Test,3.7
63955,Test,4.166666666666667
64020,Control,18.783333333333335
64058,Test,2.3666666666666667
64871,Control,4.883333333333334
64964,Control,9.85
65221,Test,2.6
65716,Control,3.4833333333333334
65845,Control,13.383333333333333
66160,Test,1.35
66169,Control,1.5
66539,Test,2.716666666666667
67390,Test,11.766666666666667
67452,Test,3.316666666666667
67925,Test,5.933333333333334
68276,Test,2.433333333333333
68830,Control,2.65
68854,Control,15.1
68886,Test,1.9333333333333333
68963,Control,16.583333333333332
69598,Control,5.1
70225,Control,1.5333333333333334
70576,Test,21.6
71296,Control,16.666666666666668
72074,Test,2.45
72221,Control,7.133333333333334
72395,Test,4.566666666666666
72915,Test,2.2333333333333334
72916,Test,4.066666666666666
73331,Control,2.1
73335,Control,4.833333333333333
